Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
vdp,3,2,1,0,1.00E-06,1,10,0.1,tanh,40,30,4.13E-08,2.424556971,4.105117193,4.105117035,1.274013572,84.03016124,4.618196075,11.48699569,2.141855381,converge,0.001702631,1.911020358,4.60817361,1.847487008,4.507565154,1.830994535
vdp,3,2,1,0,1.00E-06,2,10,0.1,tanh,40,29,1.00E-07,2.940668344,1.969491522,1.969491577,0.825702714,14.96521722,2.614809038,11.45458557,2.190649225,converge,0.004689648,1.238554071,4.411428465,1.836211224,4.244238987,1.801747996
vdp,3,2,1,0,1.00E-06,1,15,0.1,tanh,40,30,5.02E-08,2.560594082,4.686814288,4.686813863,1.405011557,149.8860693,5.945273727,11.54968515,2.129954845,converge,0.001238045,2.107517336,4.740108562,1.852890007,4.665890508,1.842812167
vdp,3,2,1,0,1.00E-06,2,15,0.1,tanh,40,28,1.33E-07,2.842152119,1.516580997,1.516580963,0.747292971,11.17891079,2.122982565,11.54245017,2.181238729,converge,0.004997451,1.120939456,4.439851144,1.797160879,4.308381059,1.770197883
vdp,3,2,1,0,1.00E-06,1,20,0.1,tanh,40,31,4.89E-08,2.751522303,3.434271931,3.434272003,1.133583008,69.44559978,4.333965896,11.48192571,2.147736473,converge,0.002011871,1.700374512,4.594608505,1.847395043,4.484148685,1.828209307
vdp,3,2,1,0,1.00E-06,2,20,0.1,tanh,40,33,1.95E-07,4.04591918,1.875902775,1.875902812,0.924030883,13.37252481,2.143665476,12.14813941,1.886476193,converge,0.104222516,1.386046324,2.608635158,1.309991079,2.272365205,1.18837776
vdp,3,2,1,0.05,1.00E-06,1,10,0.1,tanh,40,29,3.90E-08,2.811639071,4.715837623,4.757139587,1.48650682,113.9794089,5.638964548,12.5354496,2.168641975,converge,0.001218424,2.22976023,6.200543089,2.160958614,6.080254242,2.141712415
vdp,3,2,1,0.05,1.00E-06,2,10,0.1,tanh,40,29,9.86E-08,3.203175783,2.012710517,2.218995158,0.893311899,11.38824198,2.037383863,12.9172937,2.258334478,converge,0.003983089,1.339967849,5.983209993,2.139606977,5.663047809,2.081030311
vdp,3,2,1,0.05,1.00E-06,1,15,0.1,tanh,40,30,4.93E-08,2.945669413,7.028983048,7.042648824,1.823948808,1504.649631,14.41560545,12.53420512,2.150949518,converge,0.000825311,2.735923212,6.388973028,2.177495111,6.320851365,2.169023125
vdp,3,2,1,0.05,1.00E-06,2,15,0.1,tanh,40,28,1.33E-07,3.077699184,1.750350814,1.981532033,0.852351815,10.5810049,1.820335073,13.15842113,2.26868802,converge,0.003901497,1.278527722,6.023142737,2.10436856,5.708247235,2.047097566
vdp,3,2,1,0.05,1.00E-06,1,20,0.1,tanh,40,31,4.99E-08,3.023686647,4.056998222,4.121544139,1.37534215,47.52300373,4.056213207,12.57417501,2.173991617,converge,0.001334257,2.063013224,6.217026672,2.161759323,6.07839461,2.138530963
vdp,3,2,1,0.05,1.00E-06,2,20,0.1,tanh,40,33,1.96E-07,4.142941475,1.723031882,1.991316605,0.939674666,11.79368404,1.88442736,11.82535356,1.799215972,converge,0.119268556,1.409512,3.790960029,1.668731526,2.981570626,1.375052844
vdp,3,2,1,0.1,1.00E-06,1,10,0.1,tanh,40,29,3.73E-08,3.44978404,5.861984027,6.059795125,1.76539119,330.3241352,8.389274198,17.59874345,2.677439988,converge,0.000955073,2.648086785,7.338960021,2.353048801,7.290258329,2.346339793
vdp,3,2,1,0.1,1.00E-06,2,10,0.1,tanh,40,30,9.78E-08,4.505023241,2.35149866,2.874642436,1.068695768,12.22857455,2.043256173,18.61594497,2.798554734,converge,0.003280495,1.603043652,7.045545482,2.319180147,6.686845059,2.254368261
vdp,3,2,1,0.1,1.00E-06,1,15,0.1,tanh,40,30,4.87E-08,3.585318089,8.636389003,8.799362183,2.112677902,2683.433671,18.66150799,17.49997622,2.659061268,converge,0.000734176,3.169016852,7.520837105,2.369761031,7.535209615,2.375676485
vdp,3,2,1,0.1,1.00E-06,2,15,0.1,tanh,40,28,1.32E-07,4.350496054,2.295885521,2.845046488,1.085298631,12.35989879,2.119690122,18.92301624,2.831284766,converge,0.002850218,1.627947947,7.107509541,2.288281091,6.739919532,2.222089462
vdp,3,2,1,0.1,1.00E-06,1,20,0.1,tanh,40,31,4.94E-08,3.918890715,5.675137818,5.913897196,1.740329639,229.3223559,7.326820427,17.6410824,2.683115242,converge,0.000815225,2.610494458,7.441516933,2.357667852,7.384685377,2.349380827
vdp,3,2,1,0.1,1.00E-06,2,20,0.1,tanh,40,33,1.99E-07,5.23425436,1.841784136,2.459857432,0.978675115,11.92872539,1.667155823,14.7045953,2.095348567,converge,0.136572957,1.468012673,5.134523034,1.960186357,3.806624691,1.55384487
vdp,5,4,1,0,1.00E-06,1,10,0.1,tanh,40,99,0.08275492,34.76694918,752.1135812,752.1135938,16.84091747,2969706705,19118.13002,13.62842581,2.760224199,converge,1.643546486,25.2613762,15.26402357,3.190936098,9.408902354,1.612089433
vdp,5,4,1,0,1.00E-06,2,10,0.1,tanh,40,182,0.07980444,90.41867089,705.2760825,705.2760938,16.17626095,496033105.6,8776.193738,22.92209703,4.131370862,converge,63.3109375,24.26439143,28.13726729,4.584278855,1523422.51,409.6182444
vdp,5,4,1,0,1.00E-06,1,15,0.1,tanh,40,120,0.081806414,46.1883781,1920.793593,1920.793594,24.87798897,17666784681,47155.52276,11.31891253,2.653237512,converge,30.77333679,37.31698345,11.36405962,2.860095556,136114.4414,119.4239818
vdp,5,4,1,0,1.00E-06,2,15,0.1,tanh,40,131,0.08338809,65.5753181,902.4115352,902.4114844,18.68498548,1065375581,13319.25078,43.7190042,4.725168375,converge,135.5161987,28.02747822,62.08138822,5.947944301,7537470.182,957.7870643
vdp,5,4,1,0,1.00E-06,1,20,0.1,tanh,40,171,21449.139,63.55058956,438300.6781,438300.72,477.1315577,2.30E+17,217323956.5,13189.83069,97.33121296,diverge,484605.2,715.6973365,12896.20832,90.78927808,3.14E+17,259608827.9
vdp,5,4,1,0,1.00E-06,2,20,0.1,tanh,40,151,0.08537553,75.5873003,786.3782904,786.3783594,17.56965348,1623589574,15358.76437,11.62730087,2.819783595,converge,33.2682312,26.35448022,10.66593022,2.917727019,284135.4779,171.0703252
vdp,5,4,1,0.05,1.00E-06,1,10,0.1,tanh,40,14,76.239044,4.779592276,2326.08178,2322.503281,30.30999186,20338518796,57911.53298,112.26748,8.124538901,diverge,96.41392212,45.46498779,148.4912703,9.41385625,1111101.796,626.8246802
vdp,5,4,1,0.05,1.00E-06,2,10,0.1,tanh,40,153,0.074791685,77.96675801,827.6612155,830.0340625,20.29114221,4015848165,25336.09577,17.13512288,3.478675668,converge,36.96636047,30.43671331,19.55936486,3.923096699,873146.1699,299.3150017
vdp,5,4,1,0.05,1.00E-06,1,15,0.1,tanh,40,51,1445.8741,18.85329723,2393.987995,2398.190469,7.453692647,3.65137E+11,60525.46728,289926.8564,492.9133752,diverge,23933.175,11.18053897,295390.5146,518.4744083,3.65137E+12,604345.0938
vdp,5,4,1,0.05,1.00E-06,2,15,0.1,tanh,40,63,658.7587,30.89039922,248725.4265,248767.52,321.4661514,2.59E+16,69268943.24,938594.5089,750.171303,diverge,39.01930237,482.1992272,1016708.354,776.9686884,862515.3396,731.0713957
vdp,5,4,1,0.05,1.00E-06,1,20,0.1,tanh,40,29,95778550,10.62478685,2675199.678,2674970.56,1242.898315,2.00E+19,2114058311,1.2246E+11,291442.2309,diverge,8491560,1864.347473,58986657838,195605.7114,1.43E+19,2088134122
vdp,5,4,1,0.05,1.00E-06,2,20,0.1,tanh,40,61,70654.82,32.09597683,2339710.039,2339815.52,983.8978984,6.74E+17,317381970.4,31268.56576,169.0469166,diverge,950037.4,1475.846848,28418.66049,157.5197179,6.36E+16,115411352.9
vdp,5,4,1,0.1,1.00E-06,1,10,0.1,tanh,40,87,0.07784826,32.97458696,1544.048404,1550.524844,23.10434035,1506424942,16189.83345,30.11784856,3.887000951,converge,287.9480225,34.65651053,58.58047596,5.036865586,27271304.18,1789.723137
vdp,5,4,1,0.1,1.00E-06,2,10,0.1,tanh,40,142,0.07549244,70.20413184,1100.898733,1106.081875,24.9189562,11798954304,44198.63599,28.16928874,4.065197972,converge,73.40378418,37.37843429,26.91557517,4.354591902,8609186.853,940.7800175
vdp,5,4,1,0.1,1.00E-06,1,15,0.1,tanh,40,16,282.10434,6.045373201,9184.547118,9203.155,68.92534803,2.45815E+12,698452.1805,179.6105438,9.591031843,diverge,8095.371875,103.388022,308.7442527,12.62707715,1.75629E+12,592203.3268
vdp,5,4,1,0.1,1.00E-06,2,15,0.1,tanh,40,141,1.01E-05,70.84101439,3.665479131,3.714542236,1.354547698,399.5123243,5.524220164,20.99261543,2.28484078,converge,0.291242123,2.031821547,8.328483369,2.184519605,4.585214563,1.400487919
vdp,5,4,1,0.1,1.00E-06,1,20,0.1,tanh,40,156,4.10E-06,60.45928407,3.858284683,4.032047729,1.431509281,207.5863544,4.341552174,15.03310394,2.180407749,converge,0.322006154,2.147263922,7.66532812,2.183401287,4.520536154,1.511418959
vdp,5,4,1,0.1,1.00E-06,2,20,0.1,tanh,40,74,0.08160625,36.88035107,2470.365716,2476.868594,38.06601977,1.16717E+11,139869.0032,21.84283015,3.764940189,converge,236.8576172,57.09902966,20.26668484,4.098751641,269276935.9,5374.525881
vdp,8,7,1,0,1.00E-06,1,10,0.1,tanh,40,66,0.10425489,41.9644804,519.7966833,519.7967285,13.9708232,1373649151,12023.79186,9.936939562,2.381924233,converge,1.989881754,20.95623481,9.500280855,2.524205589,5.89920981,1.459304977
vdp,8,7,1,0,1.00E-06,2,10,0.1,tanh,40,90,0.10834106,88.60298371,520.6330576,520.6330566,14.20902891,604478813.1,8994.350808,6.603288396,1.977675383,converge,3.366757631,21.31354337,4.112060625,1.832592912,203.3589578,4.688816427
vdp,8,7,1,0,1.00E-06,1,15,0.1,tanh,40,24,0.5004731,17.58087778,2.980389822,2.980389786,1.18944724,325.6834558,3.377605785,163.0402338,10.33708609,diverge,10.28439903,1.784170859,214.056176,12.9759762,3096.500218,16.85569208
vdp,8,7,1,0,1.00E-06,2,15,0.1,tanh,40,290,0.001220469,281.3822327,585.0751391,585.0750977,13.29015662,6657785600,21235.82903,6.3951727,1.262355898,converge,0.950792432,19.93523493,1.944872173,1.037436411,0.912650548,0.803018383
vdp,8,7,1,0,1.00E-06,1,20,0.1,tanh,40,23,10471.987,15.79461002,495727.8185,495727.8,530.5204345,4.97E+16,100557687.4,44914.09432,180.632716,diverge,232543.6406,795.7806518,40929.46693,171.5566824,9.59891E+15,48802343.22
vdp,8,7,1,0,1.00E-06,2,20,0.1,tanh,40,74,0.10681311,68.61388803,362.3207742,362.3207764,12.81662209,560798034.6,8316.67474,8.216827332,2.328607684,converge,2.724319458,19.22493313,6.574767496,2.227593819,82.79446116,3.353772477
vdp,8,7,1,0.05,1.00E-06,1,10,0.1,tanh,40,67,0.087439075,47.89189839,719.7062722,719.5070313,16.63524503,4023577567,20768.97974,11.09329095,2.449584614,converge,3.176207304,24.95286755,10.59479258,2.656072155,135.3333065,4.190679366
vdp,8,7,1,0.05,1.00E-06,2,10,0.1,tanh,40,159,0.091570936,153.0320036,476.0311119,475.8816895,12.11104643,22158745.09,1877.109414,9.105337659,2.340394981,converge,4.921325684,18.16656965,6.597083131,2.270746949,533.1827141,7.456962703
vdp,8,7,1,0.05,1.00E-06,1,15,0.1,tanh,40,94,0.08799737,65.83511329,1648.819455,1648.581836,26.98774599,37006526974,72295.60764,13.32531981,2.647668026,converge,8.179589272,40.48161899,13.85645413,3.006727855,21418.5649,38.67635741
vdp,8,7,1,0.05,1.00E-06,2,15,0.1,tanh,40,198,3489.9949,195.1766691,111102.05,111094.1125,266.1287726,6.69877E+15,37595050.19,4883.787907,59.95990886,diverge,107058.4688,399.1931589,6627.511074,62.79818339,6.11512E+15,35702292.86
vdp,8,7,1,0.05,1.00E-06,1,20,0.1,tanh,40,65,0.09726834,43.76201105,2614.333067,2615.714453,26.75543383,207202.3593,250.8906609,13.11604365,2.417592871,converge,2.144893169,40.13315074,6.971410289,2.048150954,1.671154463,1.024166815
vdp,8,7,1,0.05,1.00E-06,2,20,0.1,tanh,40,60,126967.266,56.01478863,2541213.361,2541220,1307.617737,1.12E+20,4432036362,376322.5656,565.8883686,diverge,3972278.5,1961.426606,358793.425,542.3991729,2.86E+20,7985959235
vdp,8,7,1,0.1,1.00E-06,1,10,0.1,tanh,40,82,0.07683348,54.63713932,631.4516399,631.5040527,15.98027733,2590334746,17507.3608,14.2965462,2.713999095,converge,4.052540779,23.97041599,10.76707679,2.661947878,355.2789532,6.685424838
vdp,8,7,1,0.1,1.00E-06,2,10,0.1,tanh,40,135,0.07917321,125.540864,558.2445043,560.1006836,17.63285459,1360206469,14187.06952,18.36725467,3.061869663,converge,3.74837923,26.44928188,14.55729482,2.978815492,1524.699183,11.70156131
vdp,8,7,1,0.1,1.00E-06,1,15,0.1,tanh,40,128,0.075771526,84.51937819,1438.294496,1438.243555,24.94236466,30209064681,63188.53389,15.11235731,2.784127738,converge,6.164699554,37.41354698,12.95269174,2.912754256,6157.507776,21.60118973
vdp,8,7,1,0.1,1.00E-06,2,15,0.1,tanh,40,165,0.07586889,157.4968712,1171.487695,1172.324512,24.71013269,17126410678,50766.94251,14.93393522,2.732580221,converge,11.8362875,37.06519903,11.862812,2.751505267,104459.1447,84.38781496
vdp,8,7,1,0.1,1.00E-06,1,20,0.1,tanh,40,79,0.08151661,54.50330973,2683.543334,2685.218359,36.77645628,1.25622E+11,131787.6833,18.37347097,2.917945853,converge,6.275099754,55.16468443,12.13559016,2.613156127,11319.2881,28.88115033
vdp,8,7,1,0.1,1.00E-06,2,20,0.1,tanh,40,169,0.07995976,168.0993674,712.8066764,712.307959,15.41660582,611771052.9,8884.418544,13.02936423,2.675302134,converge,8.55432415,23.12490873,8.841670013,2.685042309,2318.850274,14.29672887
vdp,10,9,1,0,1.00E-06,1,10,0.1,tanh,40,74,0.07211986,72.11299658,471.067421,471.0674609,12.71261183,929119453.8,9429.23176,9.126548258,2.229472519,converge,1.89214344,19.06891775,8.712462927,2.271200872,28.55310438,2.378382783
vdp,10,9,1,0,1.00E-06,2,10,0.1,tanh,40,123,0.080955096,155.0008848,601.1744968,601.1744922,15.29504313,643121697.1,9539.643653,7.252250393,2.101708408,converge,2.566389847,22.94256469,6.088416721,2.121752852,29.82199147,2.01344209
vdp,10,9,1,0,1.00E-06,1,15,0.1,tanh,40,270,0.004005167,259.5332,204.0534321,204.053418,8.499060521,235657402.6,4648.230105,3.449465028,1.273362241,converge,1.165091705,12.74859078,2.687157755,1.260557443,2.640830283,1.306522403
vdp,10,9,1,0,1.00E-06,2,15,0.1,tanh,40,228,0.000284377,299.5788507,2.662957554,2.662957458,1.202814688,6.578438491,1.199168531,8.038284862,1.581108164,converge,1.395955181,1.804222032,1.820778349,0.879819736,1.784830929,0.750253993
vdp,10,9,1,0,1.00E-06,1,20,0.1,tanh,40,279,0.03510663,269.7205429,241.201604,241.2016016,8.771433732,71633412.67,2032.253323,247.0146479,9.700227059,converge,1.302883911,13.1571506,284.4147829,9.555336658,1.227819788,0.987825705
vdp,10,9,1,0,1.00E-06,2,20,0.1,tanh,40,80,0.079718806,102.4183755,444.454123,444.4541406,14.30947838,1301664048,12479.83983,8.710657702,2.397041564,converge,2.293215179,21.46421757,7.969535696,2.488014123,34.8159948,2.410329565
vdp,10,9,1,0.05,1.00E-06,1,10,0.1,tanh,40,138,0.059075795,132.4695675,445.6745293,446.3711328,10.97568234,534117276.9,6122.578799,9.406397881,2.417882169,converge,2.294515991,16.46352351,10.83497643,2.715071843,22.89831796,2.122516741
vdp,10,9,1,0.05,1.00E-06,2,10,0.1,tanh,40,258,0.05942732,330.5120492,304.9399924,305.5755664,9.105104894,4149283.249,536.4086391,9.744575279,2.508435337,converge,2.357703209,13.65765734,12.0263969,2.849424628,3.927919725,1.383284437
vdp,10,9,1,0.05,1.00E-06,1,15,0.1,tanh,40,80,0.05976482,76.62938166,799.1689866,800.4135156,16.25402285,7919339055,25937.81633,8.404348392,2.207952807,converge,2.470070457,24.38103428,9.257765547,2.523528343,148.1159124,3.946951921
vdp,10,9,1,0.05,1.00E-06,2,15,0.1,tanh,40,121,0.059220668,157.7414265,363.9636112,364.7429297,10.2259785,37019154.2,2105.150238,10.95106512,2.547913169,converge,2.426228714,15.33896775,16.24736503,3.131612141,70.940312,3.155145414
vdp,10,9,1,0.05,1.00E-06,1,20,0.1,tanh,40,192,0.03151912,187.5321615,289.8299447,289.559043,9.498879431,360836481.4,4093.329058,438.5217032,13.81605276,converge,1.449133205,14.24831915,530.100265,14.02238095,1.223740746,0.912564125
vdp,10,9,1,0.05,1.00E-06,2,20,0.1,tanh,40,112,0.061360314,148.0786173,432.2835308,432.8179688,12.66083946,379199357.1,6683.119709,8.817106022,2.371920943,converge,2.608932114,18.99125918,9.508260895,2.58249257,8.222247089,1.780197035
vdp,10,9,1,0.1,1.00E-06,1,10,0.1,tanh,40,95,0.052022938,92.76372242,582.4106962,584.7745313,11.87830166,824256188.8,7935.522024,14.3374756,2.824613808,converge,3.315459061,17.81745249,13.47683338,3.145663164,81.54315486,3.321083947
vdp,10,9,1,0.1,1.00E-06,2,10,0.1,tanh,40,120,0.05281172,158.4174252,307.2074726,308.767793,8.992801029,668870.4669,348.7057972,13.13918884,2.622510181,converge,2.952357864,13.48920154,10.32970896,2.776361148,4.169674816,1.468471195
vdp,10,9,1,0.1,1.00E-06,1,15,0.1,tanh,40,161,0.051653683,155.7087288,591.9068269,594.38875,11.93778394,1464317754,10380.03849,14.18803853,2.779998191,converge,2.882994843,17.90667592,14.29331143,3.149816258,81.66968898,3.401532291
vdp,10,9,1,0.1,1.00E-06,2,15,0.1,tanh,40,121,0.052089088,157.5947931,731.3015024,733.6379688,14.13507669,1214470.336,393.3547641,14.31623277,2.819678169,converge,4.688864136,21.20261503,14.34329721,3.2096974,579.5809973,7.338627755
vdp,10,9,1,0.1,1.00E-06,1,20,0.1,tanh,40,357,0.051871568,306.6717436,408.3011224,410.295,9.840178827,126849287.4,3448.605345,13.87390338,2.700251164,converge,2.706786537,14.76026824,13.21549143,3.039583589,83.15039214,3.34053229
vdp,10,9,1,0.1,1.00E-06,2,20,0.1,tanh,40,118,0.054918334,134.7610991,644.119819,646.04125,15.12477104,904034720.4,10547.69712,13.2200407,2.622626851,converge,4.146854782,22.68715657,9.324232769,2.698629897,8.167863637,1.766092183
vdp,3,2,3,0,1.00E-06,1,10,0.1,tanh,40,95,8.76928E+14,8.326479197,5.82E+16,5.82E+16,161469577.8,1.21E+50,4.77E+24,5.10913E+14,19802936.92,diverge,4.40E+16,242204366.6,5.06429E+14,19814778.04,9.45E+49,3.64E+24
vdp,3,2,3,0,1.00E-06,2,10,0.1,tanh,40,379,0.000706114,63.51735687,2.227321854,2.227321879,0.910723393,13.35160914,2.372231593,11.72427043,2.188129056,converge,0.593335999,1.36608509,10.54085112,2.141131991,12.27836655,2.35473978
vdp,3,2,3,0,1.00E-06,1,15,0.1,tanh,40,256,0.003041036,40.6297648,1.303960633,1.303960546,0.687425374,14.18648713,2.019029275,19.53357352,2.722229112,converge,0.343834692,1.031138061,19.67379469,2.765373844,17.57691695,2.28541308
vdp,3,2,3,0,1.00E-06,2,15,0.1,tanh,40,378,0.000949172,72.15529275,5.708598526,5.708598328,1.317363852,10525.77666,16.92260169,13.98902861,2.439225655,converge,1.872263802,1.976045778,13.21626727,2.518814742,16.51321542,2.972904236
vdp,3,2,3,0,1.00E-06,1,20,0.1,tanh,40,57,1675004,7.852854729,97974658.77,97974664.53,5779.96504,1.16E+22,39927574536,2405401.474,1110.63273,diverge,80637162.67,8669.94756,2204273.826,1059.376653,1.71E+22,53168590462
vdp,3,2,3,0,1.00E-06,2,20,0.1,tanh,40,208,0.001048417,38.7607131,5.269517923,5.269518026,1.055552811,14715.29828,17.85732994,16.9379175,2.680308088,converge,0.324508852,1.583329216,14.20612689,2.660650742,13.71014351,2.311087648
vdp,3,2,3,0.05,1.00E-06,1,10,0.1,tanh,40,225,0.001929011,30.41384029,19.9009321,20.02172241,2.140918826,274949.5905,115.9127351,15.09179308,2.62330182,converge,21.28829617,3.211378239,13.22780982,2.591552959,337133.0516,139.7758412
vdp,3,2,3,0.05,1.00E-06,2,10,0.1,tanh,40,372,0.000348531,69.23262644,1.568081969,1.608713531,0.777111137,25.7346168,2.846500783,14.46482056,2.644858506,converge,0.121280856,1.165666705,12.40334119,2.504314375,11.48216536,2.194476084
vdp,3,2,3,0.05,1.00E-06,1,15,0.1,tanh,40,248,0.000923539,35.42489552,1.614425582,1.759263484,0.83738015,12.26180132,2.131100769,14.56203546,2.453662974,converge,0.513748593,1.256070225,14.82521805,2.568400909,14.02343924,2.466035396
vdp,3,2,3,0.05,1.00E-06,2,15,0.1,tanh,40,262,0.000102676,50.3560431,1.324196213,1.451647059,0.840394964,16.50811731,2.066421855,37.27179015,4.726533281,converge,0.817695883,1.260592446,41.20742042,5.117072634,25.8061224,2.811426866
vdp,3,2,3,0.05,1.00E-06,1,20,0.1,tanh,40,269,0.001068588,36.44836044,1.542042544,1.720775986,0.839965051,15.32729528,2.285103062,17.00862967,2.603508798,converge,0.201899489,1.259947576,19.11576319,2.844975971,19.14894331,2.576054711
vdp,3,2,3,0.05,1.00E-06,2,20,0.1,tanh,40,252,0.000873758,47.00897408,1.572638536,1.612996292,0.830324444,51.58648745,2.756123425,10.76254381,1.856916436,converge,0.230360693,1.245486666,7.193780153,1.844222752,6.477875788,1.718402704
vdp,3,2,3,0.1,1.00E-06,1,10,0.1,tanh,40,164,0.001673154,36.19404578,1.565042056,1.922980754,0.863436804,13.56732827,1.919756743,21.23173166,2.955969899,converge,0.456381639,1.295155206,22.4062936,3.019737304,20.10488219,2.594479255
vdp,3,2,3,0.1,1.00E-06,2,10,0.1,tanh,40,220,0.001947394,47.33490229,2.091904668,2.444455973,1.023506495,15.22938611,2.520836913,19.12906259,2.845272579,converge,0.418506304,1.535259742,15.26015988,2.746514523,15.26758454,2.659394674
vdp,3,2,3,0.1,1.00E-06,1,15,0.1,tanh,40,52,50375.18,7.261398315,2969957.824,2970032.533,694.9821354,7.36E+16,74762614.95,132729.9593,274.8900929,diverge,4133098.667,1042.473203,130852.764,269.6809286,8.29E+16,95261174.24
vdp,3,2,3,0.1,1.00E-06,2,15,0.1,tanh,40,153,0.000892104,27.88425493,1.393652623,1.822267024,0.817406739,12.8810366,2.013448644,17.65560332,2.702603136,converge,0.360601849,1.226110109,17.59872687,2.836085703,18.50311256,2.690181751
vdp,3,2,3,0.1,1.00E-06,1,20,0.1,tanh,40,233,0.000355821,30.3960011,2.463316736,2.806094106,1.084293534,20.89587006,2.848373393,22.5110557,3.071526915,converge,0.112695787,1.626440302,23.10969797,3.196514995,22.21820939,3.07808438
vdp,3,2,3,0.1,1.00E-06,2,20,0.1,tanh,40,175,0.000814873,29.55006814,1.379990402,1.781767019,0.86891262,10.1134344,1.761559978,12.11358526,1.922013841,converge,0.232488155,1.30336893,7.571061686,1.725620532,6.083956732,1.606267274
vdp,5,4,3,0,1.00E-06,1,10,0.1,tanh,40,346,0.012075219,125.5909197,71.78186866,71.78186523,2.814421084,291061864.7,2230.877743,8.337705917,1.421188546,converge,0.834795252,4.221631626,8.558802542,1.645140946,3.188982528,1.105475267
vdp,5,4,3,0,1.00E-06,2,10,0.1,tanh,40,335,0.000721668,168.3432324,11.96529044,11.96529053,1.932345121,613303.3243,105.1167674,3.495791195,0.912317979,converge,1.926341248,2.898517682,1.617504541,0.750003958,0.809987795,0.560388021
vdp,5,4,3,0,1.00E-06,1,15,0.1,tanh,40,872,0.000335891,311.1414602,1.45126956,1.451269531,0.728414385,2.836575995,0.919060832,4.171680039,1.111804688,converge,0.565977859,1.092621578,3.424324305,0.965696672,2.448415851,0.782119265
vdp,5,4,3,0,1.00E-06,2,15,0.1,tanh,40,367,0.002444299,191.3389723,39.1950477,39.19504883,2.618282829,24380097.51,696.2309325,3.441719505,0.928106696,converge,1.566523743,3.927424244,2.45059561,0.983143856,0.726815789,0.594468827
vdp,5,4,3,0,1.00E-06,1,20,0.1,tanh,40,296,0.005452674,114.7820182,2.101939922,2.10193985,0.96354671,6.833583669,1.315387958,7.248545664,1.392242186,converge,0.90751756,1.445320065,7.486611346,1.552822015,2.311693689,0.91439489
